id;start_date;end_date;language
1;2019-11-07T17:52:48;2019-11-07T11:01:05;ENGLISH
2;2019-11-07T19:22:53;2019-11-07T04:29:03;FRENCH
3;2019-11-07T14:54:58;2019-11-07T06:18:58;ENGLISH
4;2019-11-07T04:06:49;2019-11-07T11:33:51;SPANISH
5;2019-11-07T13:05:28;2019-11-07T17:49:37;ENGLISH
6;2019-11-07T19:22:29;2019-11-07T20:39:25;ENGLISH
7;2019-11-07T04:44:48;2019-11-07T17:25:35;ENGLISH
8;2019-11-07T02:16:07;2019-11-07T10:16:16;ENGLISH
9;2019-11-07T12:04:13;2019-11-07T20:28:52;ENGLISH
10;2019-11-07T15:22:23;2019-11-07T12:38:38;ENGLISH
